Wat?;Extra regel;Links;Waarderen;Getuigschriften;Inschrijven/aanmelden;Overig;Meeloopstage;Juniorstage;IPL;BVP;PZW;Minor;Startdatum;Einddatum;Tijd startdatum;Tijd einddatum;Deadline;P;H1;H2/3
Opleidingsdag Fysiotherapie;Voor nieuwe 1e jaars en instromers hogere jaren, onder begeleiding van hogerejaars;;;;;v;;;;;;;27-8-2025;27-8-2025;;;;;v;
Onboardingsweek per CoP;Voor alle studenten;;;;;v;;;;;;;1-9-2025;5-9-2025;;;;;v;v
IPL: Inschrijven;Start IPL in lesweek 1.2;Praktijkbureau;;;;;;;v;;;;2-9-2025;3-9-2025;12:00;10:00;;;v;
BVP en Juniorstage: stagecontracten inleveren;Voor studenten BVP1 en BVP2 en Juniorstage;Praktijkbureau;;;;;;v;;v;;;2-9-2025;1-12-2025;;;;;v;v
BVP: SCT;Voor studenten BVP1 en BVP2 in semester 1.;;v;;;;;;;v;;;2-9-2025;30-1-2026;;;;;;v
BVP: Cursus leren signaleren;Alleen voor studenten BVP2;;v;;;;;;;v;;;2-9-2025;30-1-2026;;;;;;v
Uitvraag te volgen onderwijs ;Voor onderwijs in semester 2 2025/2026;;;;v;;;;;v;v;v;;;;;;;v;v
Feedbackmomenten kennis kans 1;"Thema 1 (P-studenten) en 5 (H1 studenten)
Zie toetsplanning voor extra info";;v;;;;;;;;;;24-9-2025;24-9-2025;;;;v;v;
LVT: aanmelden;Aanmelden is voorwaarde voor deelname;;v;;;;;;;;;;29-9-2025;17-10-2025;;;;;v;v
BVP: Inzien stageplaatsen ;"Voor studenten BVP1 en BVP2 die willen solliciteren in ronde 1. Start inzien: lijst wordt voortdurend aangevuld.
";https://praktijkaanbod.han.nl/nl-NL/;;;;;;;;v;;;1-10-2025;25-10-2025;;;;;v;v
Evaluatievragenlijst onderwijs;Voor studenten in alle leerjaren via Forms;Via Forms, link volgt;;;;v;;;;;;;29-9-2025;3-9-2025;;;;v;v;v
Meeloopstage;Voor P-studenten: lopen mee met BVP-student uit eigen CoP of op zelf geregeld adres;Praktijkbureau;;;;;v;;;;;;1-10-2025;1-1-2026;;;;v;;v
Minoren: 1e intekenperiode;Voor onderwijs in semester 2 2025/2026;Intekenen op een minor;;;;;;;;;;v;1-10-2025;31-10-2025;00:00;23:59;;;;v
Intekenen onderwijs en tentamens P2 (n.v.t.);;;;;v;;;;;;;;;;;;;v;v;v
Feedbackmomenten kennis kans 2;"Thema 1 (P-studenten) en 5 (H1 studenten)
Zie toetsplanning voor extra info";;v;;;;;;;;;;Volgt;;;;;;v;
BVP: check lijst toelaatbaarheid solliciteren ronde 1;"Voor studenten BVP1 en BVP2 die willen solliciteren in ronde 1
";Praktijkbureau;;;;;;;;v;;;27-10-2025;;;;;;v;v
BVP: sollicitatievoorkeuren doorgeven ronde 1;Voor studenten BVP1 en BVP2 die mogen solliciteren (op basis van toelaatbaarheid) in ronde 1;https://praktijkaanbod.han.nl/nl-NL/;;;;;;;;v;;;Volgt;;;;;;v;v
Studentarena 1 in CoP;Voor afvaardiging van 1e, 2e, 3e en 4e jaars, evaluatie van het blok;;;;;;;;;;;;;;;;;;v;v
